"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML21PL90_19B"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_19E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_19K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_19L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_21J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_23A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_23E"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_23L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_3G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_3K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_3O"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_5G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_5I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_5L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_5N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_7O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_9D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_9F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_9I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_9O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL90_9P"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_11C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_13A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_15E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_15F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_15I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_15K"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_15N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_17J"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_17K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_17N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_19O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_1I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_1J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_1P"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_21L"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_21P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_3J"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_3K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_3M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_5I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_5K"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_5N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_5P"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_7A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_7J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_9N"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL92_9P"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL93_11M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL93_11N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL93_11O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL93_13O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL94_3E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL94_3F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL94_3H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL94_5O"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML21PL94_7M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL58_11C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_11O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_13A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_13F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_13H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_13K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_15N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_17D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_17I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_17L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_17M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_17O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_19P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_21A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_21E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_21J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_21L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_23B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_23C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_23E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_23K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_23P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_5C"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_5D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_5E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_5K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_5M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_7M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_7O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_9C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_9G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_9L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL58_9O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_11A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_11E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_11F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_11G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_11J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13M"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_13P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_15C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_15H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_15K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_17E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_17G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_17I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_19G"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_19J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_21H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_21K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_23E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_23I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_23K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_23M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_23O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_3M"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_7A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_7D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_7F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_7I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_7O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_9D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_9E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_9K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL59_9M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_11O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_13D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_13H"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_13K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_13N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_15F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_15P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_17D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_17F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_19B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_19D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_19H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_21D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_21H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_21J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_21L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_23B"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_23D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_23N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_3D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_3K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_3M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_3N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_5E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_5F"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_5L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_5P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_9D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_9J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_9L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL60_9N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_13D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_13H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_13J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_13K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_15E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_15J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_15N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_17H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_19H"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_21D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_21I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_21K"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_21L"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_21P"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_23D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_23G"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_23O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_3E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_3K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_3M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_5A"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_5D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_5P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_7K"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_7N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_9D"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_9I"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_9J"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_9N"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL61_9P"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_11C"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_11E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_11M"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_11O"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_13K"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_15B"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_15D"	"patient.1.1.2.1"	NA	"cluster1"	"patient.1.1.2.1"
"MPNAML13PL70_15E"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.2.1"
