"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML13PL66_19C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_19F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_19O"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_19P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_21H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_3O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5C"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_5P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_7D"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_7F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_7L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL66_9P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_11F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_11G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_11H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_11P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_13E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_13G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_13I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_13J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_13K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_15P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17I"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_17N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19J"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19N"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_19P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_1P"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3E"	"patient.1.1.1.2"	"TP53HET"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3H"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_3N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_5M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7D"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7K"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_7M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9G"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9N"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL71_9P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_15A"	"patient.1.1.1.2"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_15I"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_15L"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_17A"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_1P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_3P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_5J"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_5P"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_7O"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_9B"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_9E"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL72_9F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL73_1F"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL73_5C"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL73_9M"	"patient.1.1.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.2"
"MPNAML13PL62_9M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL62_11M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_13A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_13J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_15G"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_17H"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_17N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_19A"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_19E"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_19K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_19M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_21B"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_21M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_3D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_3G"	"patient.1.2.1.1"	NA	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL66_3P"	"patient.1.2.1.1"	"TP53HET"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL71_13C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL72_1E"	"patient.1.2.1.1"	"TP53HET"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL72_9D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_11D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_13I"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_15L"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_15M"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_17C"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_1D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_1J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_21J"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_3H"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_3K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_5D"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_5F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_5N"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_7F"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_7K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL73_9K"	"patient.1.2.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.1"
"MPNAML13PL64_21O"	"patient.1.2.2.2"	"preleukemic"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL62_15G"	"patient.1.2.2.2"	"preleukemic"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL64_9F"	"patient.1.2.2.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL66_17G"	"patient.1.2.2.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL71_11D"	"patient.1.2.2.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL72_13G"	"patient.1.2.2.2"	"preleukemic"	"cluster1"	"patient.1.2.2.2"
"MPNAML13PL62_17P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_11N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_3E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_7I"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_7K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_9A"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_9D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL62_9O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL64_9G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_11J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_13D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_13F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_15M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_17D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_17J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_21L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_7G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_7M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_9J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL66_9L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL71_11M"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL71_13L"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL71_15F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL71_7P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL72_17N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_11E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_11I"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_11J"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_11O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_11P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_13D"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_13E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_13K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_15F"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_15G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_15J"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_15N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_15P"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17E"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17F"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17H"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17I"	"patient.1.2.1.2"	NA	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_17O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_1G"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_1K"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_1N"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_1O"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
"MPNAML13PL73_21D"	"patient.1.2.1.2"	"TP53_multihit_HOM"	"cluster1"	"patient.1.2.1.2"
